Latitude,Longitude
-37.0140229,142.9969489
-36.6204298,144.4304564
-37.0871032,143.91574
-36.0437572,146.4772875
-37.0002616,142.2902434
-36.3671478,145.141861
-37.0182165,142.9795159
-36.4822141,145.0687487
-36.443619,145.2284527
-36.1270138,143.75407
-36.2753046,145.2060267
-36.1843039,145.6123521
-36.6618486,144.8489802
-36.1786196,145.0424988
-36.3015314,144.9965595
-36.2968386,144.8062742
-36.8131134,141.3456098
-38.2165582,145.3779414
-36.3510812,145.0678518
-38.368898,144.7716305
-36.3245121,144.9816229
-36.4244622,144.9840525
-36.5091228,145.237579
-36.4761054,145.005803
-35.993559,145.3307049
-36.3073209,144.6504661
-36.2073104,144.9032495
-36.3677876,145.1342843
-36.0475832,145.429596
-36.4152703,144.9945361
-36.979932,143.2927378
-36.6522684,145.9499119
-36.3884355,144.6825354
-37.5394019,142.5684651
-36.2821073,144.5507297
-36.3058824,144.7597071
-36.3811796,144.6659579
-36.3800333,145.2513357
-36.2718702,145.2114712
-36.2815672,144.8207835
-36.2496912,144.4916117
-36.2021181,144.9663064
-36.2347093,144.4665682
-36.524408,145.293683
-38.1587389,147.1782359
-36.1919175,144.5578148
-36.0231851,145.2275436
-36.0336174,145.4032212
-36.3586332,144.6608187
-36.1506457,144.923601
-36.3967879,145.4624258
-36.2674631,145.0139118
-36.3150171,145.0884221
-36.441576,144.3462231
-34.1628505,142.140046
-36.318509,145.2771952
-36.3627763,145.4478467
-36.4534834,144.9890668
-36.3189219,145.3864498
-35.7667969,144.00148
-35.9831286,145.4800241
-36.6856667,145.4567825
-36.0250739,145.3978512
-35.2380593,143.470915
-36.4331315,146.3421314
-36.3558635,145.1495172
-36.3798264,144.665518
-37.2301756,143.5812823
-36.1729654,145.591364
-36.2422238,144.9659551
-37.1035665,141.9478598
-36.3251021,145.3844537
-38.4730847,143.681455
-36.3870815,145.1280758
-36.9401624,145.1432615
-37.8371345,145.391947
-35.1804303,141.0690774
-36.7163857,141.4417496
-36.3352036,145.2250122
-37.8102569,145.4264458
-36.3852661,146.8765151
-36.533904,145.2393308
-36.1272537,145.6123441
-36.2293655,144.5016461
-36.3210711,144.4139588
-36.3218878,144.4150663
-35.9840057,145.361269
-36.0479676,145.2283934
-36.1849042,144.6729221
-36.4962049,145.2519388
-36.1763466,145.0117833
-36.4232865,144.1359901
-36.6169063,146.2391585
-36.2133988,146.5979848
-36.4132059,143.3566026
-38.5863427,143.1268051
-36.4081476,144.9736866
-36.9941763,143.6076684
-34.4584988,141.8974757
-36.3581709,145.37283
-36.2601597,145.0308256
-36.3286163,144.6591687
-36.2474759,144.5221134
-36.381222,144.6495732
-35.702501,144.0183279
-36.6645822,145.9870507
-36.3867055,145.503497
-36.03055,145.34795
-36.1424264,145.5885744
-36.0203,145.3970501
-36.2440313,145.0008901
-36.4268788,145.0649074
-36.2499621,145.0640909
-36.4262154,145.182007
-36.7367593,145.5633537
-36.3175695,144.9679264
-36.1325655,145.5959431
-36.2806106,145.0525398
-36.3877435,145.2269493
-36.4613115,145.2586306
-36.2858479,144.9798509
-36.4250918,144.9762458
-36.0360191,145.4123326
-36.3872426,144.7091812
-36.170761,145.6082652
-36.028568,144.0389316
-36.368892,144.6877423
-36.2689351,143.8113245
-35.5281761,143.7102978
-35.5452263,143.6251058
-36.8531019,143.0615327
-36.4960703,144.324327
-36.370425,145.111443
-36.3713471,145.2667981
-36.3772444,145.2884405
-36.4544702,144.9651918
-35.7736821,143.8578418
-34.1794619,142.1090911
-34.1747305,142.1616218
-36.5005242,142.9430266
-35.6804762,143.7507389
-35.8399077,145.0458217
-36.3340553,144.6701724
-36.1383265,141.9286624
-37.9684695,143.3126315
-37.1987508,142.340994
-36.3702947,144.6137381
-38.417463,144.8365116
-36.1532114,145.6121054
-36.2652807,145.0690004
-36.2779155,144.9732858
-36.290929,144.4429112
-36.2599814,144.5876938
-36.425274,145.0108177
-36.348379,145.5087056
-36.2043457,145.0845144
-37.5637653,142.664724
-36.4419431,144.9668706
-36.2908065,144.9992207
-36.4121958,145.4634105
-36.3398274,145.0423315
-34.4448757,142.3503986
-36.350923,144.8563863
-36.2451081,144.613475
-36.3017944,144.6409155
-36.2092417,144.6146556
-38.0555518,147.1181523
-36.2835775,144.9332095
-36.2370902,144.6145165
-36.1979058,145.4314336
-36.4890131,145.1290269
-36.3278951,145.2293347
-36.4696647,145.0994239
-36.2997811,145.25722
-35.9826844,145.1333942
-36.3214666,144.7559832
-36.2033682,144.8711616
-36.5299224,142.4959718
-36.8469319,143.5017309
-36.6363793,145.8491984
-36.3763172,146.4221524
-35.9978036,145.9314055
-36.2131214,146.4233037
-36.147406,147.9547853
-36.6230986,144.4458107
-36.0372709,146.4568549
-38.5863427,143.1268051
-35.8674948,144.1917362
-35.5063347,143.6134483
-35.6719236,143.8850726
-35.808999,144.1780733
-35.5000162,143.6354924
-34.1591763,142.1589284
-34.4553274,142.3077317
-36.418208,145.4921057
-36.451849,145.3894606
-38.4136215,144.0560824
-36.2163877,144.5462186
-37.4026638,141.6114615
-37.7081809,142.5956324
-36.3088812,145.0976575
-36.3698448,144.977823
-36.441552,145.0911332
-36.2153653,144.9621855
-36.3105247,145.1604646
-36.2342869,145.0505058
-36.2922933,144.6287134
-35.9589821,145.4999386
-36.2747549,144.9533633
-36.4467308,145.2024699
-36.0276158,145.3644684
-38.3462341,142.7863408
-38.346144,142.7863434
-36.2552093,145.1435467
-36.6060883,145.3184766
-36.5837407,145.2408272
-36.3484418,144.9938055
-36.7314874,146.9880266
-36.7154343,145.3097515
-35.8535788,145.092213
-37.7242869,144.6537865
-38.5838732,143.3969703
-35.9065032,143.5759277
-36.3697623,145.0289081
-36.2336378,144.9173447
-36.2237021,144.8179147
-36.2935946,144.9630378
-36.4301375,145.0297784
-36.4678481,145.3133291
-36.0419988,145.6285366
-36.5000624,145.1587393
-36.4633827,145.0595825
-37.0862543,144.6724878
-36.7412159,141.9215505
-36.6645824,143.7008529
-37.0111443,142.3240449
-37.068082,144.7018399
-36.4339663,145.2331085
-36.2673728,145.0155812
-36.4017856,144.6250634
-36.5561929,145.268334
-36.1823666,144.9332971
-36.2694375,145.0074013
-36.3419577,144.772183
-36.1508385,145.6177542
-37.9815422,146.7745243
-36.4252912,145.2846058
-36.8776575,142.137803
-36.2321216,145.0311481
-36.1687338,146.7211688
-36.4835579,145.2216517
-37.4032362,141.6125662
-36.4237947,144.0509463
-37.0600317,145.2882105
-36.3780309,145.4650995
-36.5606264,145.9804635
-35.4368365,142.8239708
-34.1740703,142.0954128
-38.0455186,147.3388252
-37.4042364,141.6128607
-35.5568551,143.5951221
-36.1292478,145.6439116
-37.91282,143.3609645
-36.0119523,141.9789635
-36.697663,142.7636583
-36.4152703,144.9945361
-36.3542382,145.0630635
-36.2565122,144.7270338
-36.2775051,145.1115313
-36.2743641,145.397023
-36.2592423,145.0688838
-36.0587111,145.3334256
-36.2781554,145.1705264
-36.3082479,144.629416
-36.239828,144.5722258
-35.9964273,145.1690182
-36.2069493,144.9025827
-36.2764884,145.2465458
-36.2667407,145.2531922
-36.0493387,145.2622465
-36.2738166,144.4084189
-36.2068237,144.4785491
-38.6154501,145.7725526
-36.2236394,144.4314952
-36.2122018,144.9401666
-37.5323981,142.5875921
-36.2921028,145.1143357
-36.3327389,145.3169009
-35.9988219,145.4545015
-35.277681,143.5601442
-36.4035111,145.1770477
-36.4423043,144.9693245
-36.391936,145.2484762
-36.362708,144.4705845
-36.4648982,145.3952173
-36.0278698,146.05282
-36.4898923,145.2076063
-36.3396244,144.663576
-36.4545582,144.9586094
-36.2525547,145.0951381
-36.1464276,145.5629358
-36.3503414,144.9050753
-36.0537823,145.3234154
-36.4254239,145.0852033
-36.1332022,145.5767272
-36.3702838,144.9430527
-36.2915952,145.0726979
-36.3581675,145.111871
-36.2747899,144.6227872
-36.6833762,146.1040091
-36.0286818,144.041815
-36.272877,144.1033378
-36.4047964,144.9323239
-35.9782441,145.4620313
-38.0260667,146.8806019
-36.8061929,141.3434728
-36.6083381,145.3197156
-36.3040315,145.4709218
-36.4727695,145.018301
-36.1303256,145.4516092
-36.7652188,142.3424893
-35.9147338,144.2068647
-37.2486163,144.9243589
-35.9009213,143.8865284
-36.3840974,146.498345
-38.1839712,145.8883012
-37.5881269,142.595026
-36.0346332,146.4346774
-36.5453467,146.4838515
-36.0440394,146.4813549
-38.5863427,143.1268051
-36.3797732,145.433679
-37.539388,144.6244167
-36.4387835,145.2569932
-36.0245161,145.1884949
-36.1396877,145.6129983
-36.2726432,144.4080939
-36.0889721,143.6793934
-34.1777404,142.105143
-35.9778109,145.5222361
-38.6719451,145.7923226
-37.4076275,141.966717
-37.2122424,140.9754004
-35.6866448,143.8788959
-34.7051987,141.0604241
-38.1240689,145.2659438
-36.3381688,145.2296995
-38.1139116,147.2200506
-35.1845831,142.1734601
-36.0174512,145.6671651
-36.3550737,145.2488029
-36.4497739,144.9408743
-36.3178377,144.4162108
-35.992846,145.5052588
-36.5093661,145.2506422
-36.4460483,145.2727465
-36.9796083,143.2909138
-35.8066739,143.8620913
-35.8046579,143.8791702
-38.3886664,144.857861
-36.3825328,144.6999477
-36.4062538,145.4381765
-35.9850048,145.6007946
-36.4900807,145.2029189
-36.3389214,144.6699287
-36.361191,144.9698026
-36.4076672,145.4911463
-36.3569042,145.4273104
-36.1928196,144.558032
-36.4401104,145.0905737
