Lon,Lat,lon1,lon2,lat1,lat2,StressLevel
143.84999999999985,-37.24999999999998,143.79999999999984,143.89999999999984,-37.299999999999976,-37.199999999999974,1
143.84999999999985,-36.349999999999966,143.79999999999984,143.89999999999984,-36.39999999999996,-36.29999999999996,1
143.84999999999985,-35.94999999999996,143.79999999999984,143.89999999999984,-35.99999999999996,-35.899999999999956,1
143.84999999999985,-35.84999999999996,143.79999999999984,143.89999999999984,-35.899999999999956,-35.799999999999955,3
143.84999999999985,-35.74999999999996,143.79999999999984,143.89999999999984,-35.799999999999955,-35.69999999999995,1
143.84999999999985,-35.649999999999956,143.79999999999984,143.89999999999984,-35.69999999999995,-35.59999999999995,2
143.84999999999985,-35.549999999999955,143.79999999999984,143.89999999999984,-35.59999999999995,-35.49999999999995,1
143.94999999999985,-38.24999999999999,143.89999999999984,143.99999999999983,-38.29999999999999,-38.19999999999999,1
143.94999999999985,-37.34999999999998,143.89999999999984,143.99999999999983,-37.39999999999998,-37.299999999999976,1
143.94999999999985,-37.049999999999976,143.89999999999984,143.99999999999983,-37.09999999999997,-36.99999999999997,2
143.94999999999985,-35.84999999999996,143.89999999999984,143.99999999999983,-35.899999999999956,-35.799999999999955,1
143.94999999999985,-35.549999999999955,143.89999999999984,143.99999999999983,-35.59999999999995,-35.49999999999995,2
144.04999999999984,-38.449999999999996,143.99999999999983,144.09999999999982,-38.49999999999999,-38.39999999999999,1
144.04999999999984,-36.54999999999997,143.99999999999983,144.09999999999982,-36.599999999999966,-36.499999999999964,2
144.04999999999984,-36.349999999999966,143.99999999999983,144.09999999999982,-36.39999999999996,-36.29999999999996,2
144.04999999999984,-35.94999999999996,143.99999999999983,144.09999999999982,-35.99999999999996,-35.899999999999956,5
144.04999999999984,-35.74999999999996,143.99999999999983,144.09999999999982,-35.799999999999955,-35.69999999999995,1
144.04999999999984,-35.649999999999956,143.99999999999983,144.09999999999982,-35.69999999999995,-35.59999999999995,1
144.14999999999984,-38.24999999999999,144.09999999999982,144.19999999999982,-38.29999999999999,-38.19999999999999,2
144.14999999999984,-36.44999999999997,144.09999999999982,144.19999999999982,-36.499999999999964,-36.39999999999996,2
144.14999999999984,-36.249999999999964,144.09999999999982,144.19999999999982,-36.29999999999996,-36.19999999999996,2
144.14999999999984,-35.94999999999996,144.09999999999982,144.19999999999982,-35.99999999999996,-35.899999999999956,4
144.14999999999984,-35.84999999999996,144.09999999999982,144.19999999999982,-35.899999999999956,-35.799999999999955,2
144.14999999999984,-35.74999999999996,144.09999999999982,144.19999999999982,-35.799999999999955,-35.69999999999995,2
144.14999999999984,-35.649999999999956,144.09999999999982,144.19999999999982,-35.69999999999995,-35.59999999999995,2
144.24999999999983,-36.74999999999997,144.19999999999982,144.2999999999998,-36.79999999999997,-36.69999999999997,1
144.24999999999983,-36.44999999999997,144.19999999999982,144.2999999999998,-36.499999999999964,-36.39999999999996,1
144.24999999999983,-35.84999999999996,144.19999999999982,144.2999999999998,-35.899999999999956,-35.799999999999955,1
144.24999999999983,-35.74999999999996,144.19999999999982,144.2999999999998,-35.799999999999955,-35.69999999999995,1
144.34999999999982,-36.44999999999997,144.2999999999998,144.3999999999998,-36.499999999999964,-36.39999999999996,2
144.34999999999982,-36.349999999999966,144.2999999999998,144.3999999999998,-36.39999999999996,-36.29999999999996,3
144.34999999999982,-35.94999999999996,144.2999999999998,144.3999999999998,-35.99999999999996,-35.899999999999956,1
144.44999999999982,-36.54999999999997,144.3999999999998,144.4999999999998,-36.599999999999966,-36.499999999999964,2
144.44999999999982,-36.349999999999966,144.3999999999998,144.4999999999998,-36.39999999999996,-36.29999999999996,6
144.44999999999982,-36.249999999999964,144.3999999999998,144.4999999999998,-36.29999999999996,-36.19999999999996,1
144.5499999999998,-36.64999999999997,144.4999999999998,144.5999999999998,-36.69999999999997,-36.599999999999966,1
144.5499999999998,-36.349999999999966,144.4999999999998,144.5999999999998,-36.39999999999996,-36.29999999999996,2
144.5499999999998,-36.249999999999964,144.4999999999998,144.5999999999998,-36.29999999999996,-36.19999999999996,10
144.5499999999998,-36.14999999999996,144.4999999999998,144.5999999999998,-36.19999999999996,-36.09999999999996,8
