Latitude,Longitude,LocalDensity,GlowSize
-36.2565122,144.7270338,52,109
-36.2775051,145.1115313,93,191
-36.2743641,145.397023,39,83
-36.2592423,145.0688838,86,177
-36.0587111,145.3334256,26,57
-36.2781554,145.1705264,78,161
-36.3082479,144.629416,59,123
-36.239828,144.5722258,44,93
-35.9964273,145.1690182,13,31
-36.2069493,144.9025827,53,111
-36.2764884,145.2465458,62,129
-36.2667407,145.2531922,60,125
-36.0493387,145.2622465,23,51
-36.2738166,144.4084189,21,47
-36.2068237,144.4785491,31,67
-38.6154501,145.7725526,2,9
-36.2236394,144.4314952,24,53
-36.2122018,144.9401666,64,133
-37.5323981,142.5875921,4,13
-36.2921028,145.1143357,96,197
-36.3327389,145.3169009,72,149
-35.9988219,145.4545015,36,77
-35.277681,143.5601442,3,11
-36.4035111,145.1770477,103,211
-36.4423043,144.9693245,64,133
-36.391936,145.2484762,87,179
-36.362708,144.4705845,22,49
-36.4648982,145.3952173,51,107
-36.0278698,146.05282,3,11
-36.4898923,145.2076063,72,149
-36.3396244,144.663576,53,111
-36.4545582,144.9586094,60,125
-36.2525547,145.0951381,82,169
-36.1464276,145.5629358,29,63
-36.3503414,144.9050753,79,163
-36.0537823,145.3234154,25,55
-36.4254239,145.0852033,92,189
-36.1332022,145.5767272,31,67
-36.3702838,144.9430527,77,159
-36.2915952,145.0726979,98,201
-36.3581675,145.111871,105,215
-36.2747899,144.6227872,61,127
-36.6833762,146.1040091,2,9
-36.0286818,144.041815,8,21
-36.272877,144.1033378,4,13
-36.4047964,144.9323239,65,135
-35.9782441,145.4620313,32,69
-38.0260667,146.8806019,6,17
-36.8061929,141.3434728,3,11
-36.6083381,145.3197156,17,39
-36.3040315,145.4709218,40,85
-36.4727695,145.018301,62,129
-36.1303256,145.4516092,33,71
-36.7652188,142.3424893,1,7
-35.9147338,144.2068647,10,25
-37.2486163,144.9243589,1,7
-35.9009213,143.8865284,7,19
-36.3840974,146.498345,3,11
-38.1839712,145.8883012,1,7
-37.5881269,142.595026,8,21
-36.0346332,146.4346774,4,13
-36.5453467,146.4838515,1,7
-36.0440394,146.4813549,4,13
-38.5863427,143.1268051,5,15
-36.3797732,145.433679,45,95
-37.539388,144.6244167,1,7
-36.4387835,145.2569932,81,167
-36.0245161,145.1884949,16,37
-36.1396877,145.6129983,25,55
-36.2726432,144.4080939,21,47
-36.0889721,143.6793934,3,11
-34.1777404,142.105143,12,29
-35.9778109,145.5222361,28,61
-38.6719451,145.7923226,2,9
-37.4076275,141.966717,2,9
-37.2122424,140.9754004,4,13
-35.6866448,143.8788959,11,27
